freq	sex	unit	cities	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	T	NR	AL001C	18 	25 	33 	28 	29 	32 	23 	16 	20 	9 	10 	13 	12 	11 	9 	10 
A	T	NR	AT001C	48 	73 	73 	58 	65 	26 	11 	9 	19 	14 	40 	25 	14 	15 	22 	21 
A	T	NR	BA001C1			4 	5 	13 	8 	8 	12 			5 	9 	11 			
A	T	NR	BG001C	27 	26 	20 	20 	25 	18 	25 	21 	11 	12 	11 	10 	10 	14 	11 	16 
A	T	NR	CH001C											2 	8 	1 	3 	4 	4 
A	T	NR	CH002C		4 	11 	1 	2 	0 	2 	2 	4 	2 	2 	8 	1 			
A	T	NR	CY001C				2 	5 	4 	3 	4 	2 	1 	3 	11 				
A	T	NR	CZ001C	19 	24 	17 	10 	16 	15 	13 	11 	9 	10 		15 	10 	7 	18 	21 
A	T	NR	DE001C		200 	147 	156 	52 	55 	51 	42 	48 	50 	152 	46 	49 	54 	54 	48 
A	T	NR	DK001C			4 	16 	14 	1 	7 	11 	5 	23 	8 	8 	4 	3 	9 	6 
A	T	NR	EL001C									40 	42 	45 	35 	31 	34 	28 	33 
A	T	NR	ES001C			28 	21 		22 	18 	14 	19 	16 	20 	16 	16 	18 	26 	20 
A	T	NR	FI001C	16 	7 	12 	14 	12 	6 	10 	12 	8 	6 	10 	8 	8 	8 	11 	
A	T	NR	FR001C								181 	35 	30 	31 	34 	16 	18 	30 	23 
A	T	NR	HR001C			10 	11 	10 	6 	5 	3 	10 	10 	5 	6 	8 	9 	6 	5 
A	T	NR	HU001C	33 	26 	32 	33 	25 	29 	33 	37 	22 	14 	18 	13 	16 	12 	20 	16 
A	T	NR	IS001C			1 	3 	0 	0 	2 	1 	0 	3 	0 	1 	1 	2 	1 	2 
A	T	NR	IT001C	28 	29 	9 	27 	24 	27 	27 	21 	17 	16 	13 	13 	11 	16 	13 	20 
A	T	NR	LT001C						26 	45 	33 	15 	12 	9 	19 	16 	12 	11 	9 
A	T	NR	LU001C	3 	5 	0 	3 												
A	T	NR	LV001C					21 	20 	23 	27 	24 	16 	20 	16 	18 	16 	18 	14 
A	T	NR	ME001C				8 		1 	5 	2 	4 	4 	7 	5 	11 	5 	2 	2 
A	T	NR	MK001C	13 	12 	14 	11 	8 	8 	7 	8 	5 	14 		9 			7 	9 
A	T	NR	MT001C			1 	0 	4 	2 	3 	2 	3 	8 	7 	3 	5 	1 	5 	3 
A	T	NR	NL001C	11 	24 	10 	12 	17 	16 	17 	12 	19 	11 	9 	17 	12 	15 	10 	10 
A	T	NR	NO001C	12 	7 	5 	19 	8 	8 	7 	12 	4 	6 	7 	3 	2 	7 	4 	6 
A	T	NR	PL001C		35 	27 	36 	29 	46 			9 	14 	10 	11 	15 	15 	13 	17 
A	T	NR	PT001C	9 	4 	6 	5 	13 	10 										
A	T	NR	RS001C	40 	26 	22 	37 	22 	35 	26 	32 		22 	35 	21 	23 	19 	23 	20 
A	T	NR	SI001C	0 	1 	7 	4 	2 	0 	3 	9 	1 	6 	0 	2 	0 	0 	1 	2 
A	T	NR	SK001C							17 	15 	9 	15 	18 	17 	6 	11 	9 	6 
A	T	NR	TR012C		574 	408 	400 	391 											
A	T	NR	XK001C							13 	7 	15 	5 	11 	11 	10 	9 		
A	T	P_HTHAB	AT001C	2.87 	4.33 	4.37 	3.64 	3.81 	1.49 	0.62 									
A	T	P_HTHAB	BG001C	2.32 	2.23 	1.72 	1.66 	2.07 	1.48 	2.02 	1.70 	0.89 	0.98 	0.89 	0.81 	0.81 	1.15 	0.90 	1.31 
A	T	P_HTHAB	CH001C											0.88 	3.50 	0.44 	1.30 	1.74 	1.74 
A	T	P_HTHAB	CH002C		1.05 	2.87 	0.27 	0.53 	0.00 	0.52 			0.51 	0.50 	2.02 	0.44 			
A	T	P_HTHAB	CY001C				0.84 	2.03 	1.62 	1.23 	1.66 	0.83 	0.41 	1.24 	4.56 				
A	T	P_HTHAB	CZ001C	1.54 	1.92 	1.35 	0.81 	1.28 	1.21 	1.00 	0.85 	0.71 	0.79 		1.17 	0.76 	0.56 	1.41 	1.65 
A	T	P_HTHAB	DE001C		5.83 	4.27 	4.51 	1.56 	1.63 	1.49 	1.21 	1.34 	1.44 	4.32 	1.31 	1.34 	1.47 	1.47 	1.31 
A	T	P_HTHAB	DK001C		0.00 	0.75 	2.97 	2.55 	0.18 	0.00 									
A	T	P_HTHAB	ES001C			0.86 	0.66 		0.69 	0.57 	0.45 	0.60 	0.51 	0.63 	0.51 	0.32 	0.36 	0.52 	0.40 
A	T	P_HTHAB	FI001C	2.77 	1.20 	2.04 	2.35 	1.99 	0.98 	1.57 	1.89 	1.26 	0.97 	1.59 	1.27 	1.21 	1.21 	1.67 	
A	T	P_HTHAB	FR001C								1.85 	0.36 	0.31 	0.30 	0.33 	0.16 	0.18 		
A	T	P_HTHAB	HR001C			1.26 	1.38 	1.27 	0.76 	0.63 	0.38 	1.25 	1.25 	0.62 	0.75 	0.99 	1.12 	0.79 	0.65 
A	T	P_HTHAB	HU001C	1.94 	1.52 	1.86 	1.91 	1.45 	1.67 	1.89 	2.11 	1.25 	0.80 	1.03 	0.74 	0.94 	0.70 	1.17 	0.94 
A	T	P_HTHAB	IT001C	1.03 	1.06 	0.33 	1.04 	0.92 	1.02 	0.94 	0.73 	0.59 	0.56 	0.45 	0.45 	0.40 	0.58 	0.47 	0.73 
A	T	P_HTHAB	LT001C						4.84 	8.34 	6.45 	3.86 	2.21 	1.63 	3.44 	2.84 	2.13 	1.95 	1.60 
A	T	P_HTHAB	LU001C	3.51 	5.64 	0.00 	3.16 												
A	T	P_HTHAB	LV001C					3.23 	3.11 	3.57 	4.21 	3.75 	2.50 	3.19 	2.56 	2.87 	2.60 	2.97 	2.31 
A	T	P_HTHAB	MT001C			0.37 	0.00 	1.46 	0.73 	1.08 	0.70 	1.03 	2.71 	2.30 	0.95 	1.93 	0.39 	1.93 	1.16 
A	T	P_HTHAB	NL001C	1.47 	3.18 	1.30 	1.54 	2.15 	2.00 	2.10 					1.68 	1.19 	1.49 	0.98 	0.98 
A	T	P_HTHAB	NO001C	2.14 	1.22 	0.85 	3.17 	1.30 	1.28 							0.29 	1.00 	0.57 	0.86 
A	T	P_HTHAB	PL001C		2.04 	1.57 	2.11 	1.69 	2.67 				0.79 	0.60 				0.70 	
A	T	P_HTHAB	PT001C	0.44 	0.20 	1.09 	0.91 	2.42 	1.91 										
A	T	P_HTHAB	SI001C	0.00 	0.36 	2.50 	1.43 	0.71 	0.00 	1.05 	3.13 		2.09 	0.00 	0.68 	0.00 	0.00 	0.34 	0.68 
A	T	P_HTHAB	SK001C							3.99 	3.52 	2.11 	3.57 	4.16 	3.93 	1.39 	2.31 	1.89 	1.26 
