freq	unit	cities	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
A	NR	AT001C	35 	32 	27 	35 	25 	27 	26 	23 	22 	25 	18 	15.0	22.0	18.0	20.0
A	NR	BE001C								33 	41 	68 	48 	40.0	32.0	37.0	20.0
A	NR	BG001C							37 	39 	55 	45 	46 	37.0	38.0	27.0	24.0
A	NR	CH002C	4 	4 	5 	2 	8 	3 	9 	2 	3 	2 	2 	3.0	5.0	1.0	0.0
A	NR	CH004C	6 	3 	1 	4 	3 	4 	4 	0 	0 	2 	1 	3.0	1.0	3.0	0.0
A	NR	CY001C	2 	0 	0 	3 	0 	0 	1 	3 	1 	0 	3 	4.0	3.0	7.0	2.0
A	NR	DE001C	77 	92 	98 	187 	151 	123 	112 	225 	114 	89 	72 	66.0	51.0	77.0	62.0
A	NR	DK001C	18 	15 	10 	25 	56 	10 	9 	8 	10 	4 	8 	6.0	16.0	9.0	7.0
A	NR	EE001C	85 	89 	84 	49 	38 	58 	40 	39 	35 	39 	42 	34.0	40.0	29.0	35.0
A	NR	EL001C								52 	47 	46 	47 	41.0	49.0	43.0	68.0
A	NR	ES001C					44 	50 	55 	62 	72 	49 	72 	48.0	43.0	46.0	38.0
A	NR	FI001C	11 	13 	13 	23 	11 	8 	16 	11 	9 	12 	10 	18.0	11.0	12.0	10.0
A	NR	FR001C	80 	88 	102 	63 	46 	50 	43 	36 	49 	31 	55 	21.0	34.0	29.0	33.0
A	NR	HR001C								5 	16 	12 	15 	8.0	17.0	11.0	6.0
A	NR	HU001C	53 	70 	61 	41 	59 	59 	50 	35 	46 	31 	39 	32.0	31.0	31.0	17.0
A	NR	IE001C	8 	14 	26 	19 	21 	31 	24 	16 	21 	33 	27 	21.0	29.0	33.0	31.0
A	NR	IS001C	1 	0 	0 	0 	0 	0 	2 	2 	1 	4 	0 	2.0	1.0	0.0	2.0
A	NR	IT001C	34 	28 	30 	33 	35 	33 	29 	36 	47 	34 	29 	31.0	37.0	30.0	36.0
A	NR	LI001C1				0 	0 	0 	0 	0 	0 	0 	0 	0.0	0.0	0.0	0.0
A	NR	LT001C	78 	109 	85 	72 	56 	51 	54 	56 	36 	52 	54 	47.0	47.0	38.0	41.0
A	NR	LU001C								0 	0 	1 	0 	1.0	1.0	4.0	3.0
A	NR	LV001C							86 	90 	85 	101 	95 	77.0	38.0	55.0	39.0
A	NR	MK001C								12 	12 	9 	29 	20.0	15.0	18.0	21.0
A	NR	MT001C												0.0	0.0	0.0	0.0
A	NR	NL002C	50 	61 	64 	27 	32 	27 	19 	29 	23 	19 	27 	19.0	24.0	4.0	27.0
A	NR	NO001C	13 	3 	9 	8 	12 	8 	8 	5 	11 	13 	11 	8.0	9.0	9.0	8.0
A	NR	PL001C	60 	97 	67 	69 	64 	64 	72 	62 	60 	39 	49 	36.0	37.0	36.0	37.0
A	NR	PT001C	30 	41 	29 	44 	22 	18 	10 	16 	20 	11 	11 	10.0	15.0	16.0	14.0
A	NR	RO001C	69 	63 	56 	64 	48 	47 	37 	27 	31 	33 	25 	24.0	27.0	25.0	22.0
A	NR	RS001C								93 	70 	42 	40 	42.0	49.0	52.0	51.0
A	NR	SI001C			6 	4 	3 	3 	7 	6 	2 	2 	3 	7.0	4.0	1.0	3.0
A	NR	SK001C	21 	15 	15 	9 	27 	14 	18 	15 	17 	20 	17 	18.0	11.0	15.0	16.0
A	NR	TR001C	29 	29 	123 	115 	123 	132 	98 	123 	152 	153 	158 	177.0	196.0	200.0	192.0
A	NR	UK001C	160 	169 	167 	139 	190 	155 	183 	189 	202 	196 	212 	195.0	177.0	169.0	164.0
A	NR	UK007C	10 	10 	16 	5 	8 	8 	9 	4 	6 	10 	5 	10.0	12.0	11.0	10.0
A	NR	UK009C								6 	4 	2 	4 	6.0	5.0	5.0	3.0
A	NR	UK012C	42 	34 	9 	20 	16 	18 	11 	21 	15 	16 	4 	8.0	15.0	9.0	6.0
